time,one,two,three,four,five,six
187,590171,1987810,1225744,2805767,2942944,1266567
188,543262,1863517,1139467,2651142,2784379,1178014
189,500051,1746576,1059115,2504156,2633377,1095494
190,460252,1636607,984302,2364535,2489692,1018618
191,423598,1533239,914663,2232002,2353071,947018
192,389846,1436120,849857,2106279,2223257,880349
193,358768,1344906,789561,1987090,2099991,818286
194,330154,1259270,733472,1874160,1983014,760522
195,303811,1178899,681308,1767216,1872067,706771
196,279561,1103493,632801,1665993,1766898,656762
197,257239,1032767,587703,1570230,1667254,610243
198,236692,966448,545780,1479671,1572891,566978
199,217781,904278,506814,1394070,1483567,526743
200,200376,846012,470602,1313186,1399048,489333
201,184358,791415,436952,1236786,1319107,454553
202,169618,740269,405688,1164648,1243524,422222
203,156052,692365,376642,1096554,1172085,392171
204,143570,647504,349659,1032297,1104585,364241
205,132084,605502,324597,971678,1040826,338286
206,121514,566181,301318,914506,980617,314167
207,111790,529377,279700,860598,923776,291757
208,102842,494932,259623,809780,870128,270936
209,94609,462701,240981,761885,819506,251593
210,87035,432543,223670,716753,771748,233624
211,80066,404330,207598,674235,726703,216932
212,73654,377938,192675,634184,684224,201428
213,67756,353252,178821,596465,644173,187027
214,62329,330164,165960,560948,606417,173652
215,57337,308573,154021,527508,570830,161230
216,52744,288383,142938,496029,537294,149693
217,48519,269504,132650,466400,505693,138980
218,44632,251852,123101,438514,475921,129031
219,41056,235350,114238,412274,447875,119793
220,37766,219922,106011,387583,421458,111214
221,34740,205501,98375,364354,396579,103249
222,31957,192020,91289,342501,373149,95853
223,29396,179419,84712,321946,351088,88985
224,27040,167641,78608,302611,330316,82609
225,24873,156634,72943,284428,310760,76689
226,22880,146346,67686,267327,292351,71192
227,21046,136731,62807,251246,275023,66089
228,19359,127746,58279,236125,258712,61351
229,17808,119350,54078,221908,243361,56953
230,16381,111504,50179,208541,228914,52869
231,15068,104172,46561,195974,215319,49078
232,13860,97321,43203,184160,202525,45559
233,12749,90920,40088,173054,190487,42291
234,11727,84938,37197,162614,179160,39258
235,10787,79350,34514,152801,168503,36442
236,9922,74128,32025,143578,158477,33828
237,9127,69249,29715,134908,149044,31402
238,8395,64691,27571,126761,140170,29149
239,7723,60432,25582,119103,131822,27058
240,7103,56454,23737,111906,123970,25117
241,6534,52737,22024,105143,116583,23315
242,6010,49264,20435,98787,109635,21642
243,5528,46020,18961,92815,103099,20089
244,5085,42989,17593,87202,96952,18647
245,4678,40157,16324,81928,91170,17309
246,4303,37512,15146,76972,85732,16067
247,3958,35041,14053,72315,80618,14914
248,3640,32733,13039,67939,75808,13844
249,3349,30576,12098,63828,71284,12851
250,3080,28562,11225,59965,67030,11928
251,2833,26680,10415,56335,63029,11072
252,2606,24922,9664,52925,59266,10278
253,2397,23280,8966,49721,55728,9540
254,2205,21746,8319,46710,52400,8855
255,2028,20313,7719,43881,49271,8220
256,1866,18974,7162,41224,46329,7630
257,1716,17724,6645,38727,43561,7082
258,1579,16555,6165,36382,40959,6574
259,1452,15464,5721,34178,38513,6102
260,1336,14445,5308,32107,36212,5664
261,1229,13493,4925,30162,34048,5258
262,1130,12604,4569,28335,32014,4880
263,1039,11773,4239,26618,30101,4530
264,956,10997,3934,25005,28302,4205
265,879,10272,3650,23490,26611,3903
266,809,9595,3386,22067,25020,3623
267,744,8962,3142,20730,23525,3363
268,684,8372,2915,19473,22119,3121
269,630,7820,2705,18293,20797,2897
270,579,7304,2510,17185,19554,2689
271,533,6823,2328,16143,18385,2496
272,490,6373,2160,15165,17286,2317
273,451,5953,2004,14245,16253,2151
274,415,5560,1860,13382,15281,1997
275,381,5194,1726,12571,14367,1853
276,351,4851,1601,11809,13508,1720
277,323,4532,1485,11093,12701,1597
278,297,4233,1378,10421,11941,1482
279,273,3954,1279,9789,11227,1376
280,251,3693,1186,9195,10556,1277
281,231,3450,1101,8638,9925,1185
282,212,3222,1021,8114,9331,1100
283,195,3010,948,7622,8773,1021
284,180,2811,879,7160,8249,948
285,165,2626,816,6726,7756,880
286,152,2453,757,6318,7292,817
287,140,2291,702,5935,6856,758
288,129,2140,652,5576,6446,704
289,118,1999,605,5237,6060,653
290,109,1867,561,4920,5698,606
291,100,1744,520,4622,5357,563
292,92,1629,483,4341,5037,522
293,85,1522,448,4078,4736,485
294,78,1421,416,3831,4452,450
295,72,1328,386,3599,4186,418
296,66,1240,358,3380,3936,388
297,61,1158,332,3175,3700,360
298,56,1082,308,2983,3479,334
299,51,1011,286,2802,3271,310
300,47,944,265,2632,3075,288
301,43,882,246,2473,2891,267
302,40,824,228,2323,2719,248
303,37,769,212,2182,2556,230
304,34,719,197,2050,2403,214
305,31,671,182,1925,2259,198
306,29,627,169,1809,2124,184
307,26,586,157,1699,1997,171
308,24,547,146,1596,1878,159
309,22,511,135,1499,1765,147
310,20,477,125,1408,1660,137
311,19,446,116,1323,1561,127
312,17,416,108,1243,1467,118
313,16,389,100,1167,1379,109
314,15,363,93,1096,1297,101
315,13,339,86,1030,1219,94
316,12,317,80,968,1146,87
317,11,296,74,909,1078,81
318,10,277,69,854,1013,75
319,10,258,64,802,953,70
320,9,241,59,753,896,65
321,8,225,55,708,842,60
322,8,211,51,665,792,56
323,7,197,47,624,745,52
324,6,184,44,587,700,48
325,6,172,41,551,658,45
326,5,160,38,518,619,42
327,5,150,35,486,582,39
328,5,140,33,457,547,36
329,4,131,30,429,514,33
330,4,122,28,403,483,31
331,4,114,26,379,455,29
332,3,106,24,356,427,27
333,3,99,22,334,402,25
